Site,id,Latitude,Longitude,Elevation,Tmax01,Tmax02,Tmax03,Tmax04,Tmax05,Tmax06,Tmax07,Tmax08,Tmax09,Tmax10,Tmax11,Tmax12,Tmin01,Tmin02,Tmin03,Tmin04,Tmin05,Tmin06,Tmin07,Tmin08,Tmin09,Tmin10,Tmin11,Tmin12,Tave01,Tave02,Tave03,Tave04,Tave05,Tave06,Tave07,Tave08,Tave09,Tave10,Tave11,Tave12,PPT01,PPT02,PPT03,PPT04,PPT05,PPT06,PPT07,PPT08,PPT09,PPT10,PPT11,PPT12,Rad01,Rad02,Rad03,Rad04,Rad05,Rad06,Rad07,Rad08,Rad09,Rad10,Rad11,Rad12
"Sorrento","site",50.8685889544008,-119.451671522659,506,-0.3,2,7.5,13.9,19.5,22.5,26.8,26.2,19.8,11,4.1,-0.2,-5,-4.7,-1.4,1.6,5.7,9.6,12.2,11.4,7.4,2.7,-1,-4.4,-2.7,-1.4,3,7.8,12.6,16.1,19.5,18.8,13.6,6.9,1.5,-2.3,62,41,37,35,48,55,43,34,45,51,68,69,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"Kalamalka","site",50.235700955307,-119.276634080816,486,0.3,3,8.7,14.7,20.2,23.6,28.1,27.5,21.4,12.4,5.2,0.5,-4.3,-3.3,-0.3,3,7.2,10.7,13.5,12.9,8.5,3.3,-0.3,-4,-2,-0.2,4.2,8.8,13.7,17.1,20.8,20.2,14.9,7.8,2.4,-1.7,41,27,25,27,35,43,29,24,37,38,45,44,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"Vernon","site",50.229950432172,-119.320136897136,525,0.4,3,8.7,14.5,19.9,23.3,27.8,27.3,21.2,12.3,5.1,0.5,-4.4,-3.5,-0.5,2.8,7.1,10.5,13.4,12.7,8.4,3.2,-0.5,-4.2,-2,-0.3,4.1,8.7,13.5,16.9,20.6,20,14.8,7.7,2.3,-1.8,40,28,25,28,37,45,30,25,36,38,44,45,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"PRT","site",50.3870923312565,-119.29182887665,464,0,2.6,8.5,14.6,20,23.4,27.7,27.1,21.2,12.1,4.9,0.2,-4.9,-4,-0.8,2.4,6.6,10.1,12.8,11.9,7.7,2.8,-0.8,-4.5,-2.4,-0.7,3.8,8.5,13.3,16.8,20.3,19.5,14.5,7.5,2.1,-2.1,46,30,29,29,39,45,32,25,40,44,51,50,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"PGTIS","site",53.7683909350725,-122.715779753023,598,-3.1,0.5,5.8,12.1,18.1,21,23.4,23,17.5,9.8,1.9,-2.4,-11.7,-10,-6,-1.2,3.2,7.1,9,7.8,3.9,0.1,-4.9,-10.1,-7.4,-4.8,-0.1,5.4,10.7,14.1,16.2,15.4,10.7,4.9,-1.5,-6.2,56,38,32,35,43,66,62,47,56,64,57,46,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"Tolko","site",50.3968272593781,-119.209891311872,522,-0.1,2.5,8.3,14.4,19.8,23.1,27.4,27,21,11.9,4.6,0,-5.2,-4.3,-1.2,2.2,6.3,9.9,12.5,11.7,7.5,2.6,-1,-4.8,-2.6,-0.9,3.5,8.3,13,16.5,19.9,19.3,14.2,7.3,1.8,-2.4,50,33,32,31,42,51,33,27,44,45,55,56,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"KettleRiver","site",49.2226589402711,-118.933972154881,632,-0.3,3.4,9.2,14.8,20.1,23.2,28.4,28.4,22.9,13.4,4.1,-0.9,-6.2,-5.5,-2.2,1,5.3,8.3,10.7,10.2,5.9,1,-2.6,-6.6,-3.2,-1,3.5,7.9,12.7,15.8,19.6,19.3,14.4,7.2,0.7,-3.8,39,28,23,28,50,56,24,21,23,27,38,45,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"Border","site",59.532,-127.791,671,-14,-8.1,-0.9,8,15.1,19.8,21.7,19.9,14.1,5.1,-6.7,-13.5,-22.1,-19.2,-15.1,-5.3,0.8,5.9,8.2,6.4,2,-3.1,-15.2,-20.2,-18,-13.7,-8,1.3,8,12.9,15,13.2,8.1,1,-10.9,-16.8,37,29,18,18,28,52,60,48,37,36,37,37,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"Trench","site",56.155,-124.108,659,-6.6,-3.6,2.1,9,15,18.4,19.8,18.8,14.3,6.6,-1.2,-5.8,-12.8,-10.5,-5.6,-1.4,1.5,4.9,7.1,5.7,2.4,-0.4,-4.2,-10.6,-9.7,-7,-1.8,3.8,8.3,11.6,13.5,12.3,8.4,3.1,-2.7,-8.2,43,30,26,22,32,56,55,45,42,55,43,46,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"Sorrento","grid",50.84375,-119.46875,796,-1,1.5,6.4,12.1,17.6,20.5,24.8,24.3,18.4,10,2.8,-1.4,-6.4,-6.2,-3,0.4,4.4,8.2,10.9,10.3,6.5,1.4,-2.6,-6.1,-3.7,-2.4,1.7,6.2,11,14.3,17.9,17.3,12.4,5.7,0.1,-3.7,67,46,42,40,54,64,48,37,49,58,77,75,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"Kalamalka","grid",50.21875,-119.28125,395,0.3,3,9,15.2,20.8,24.2,28.7,28.1,21.7,12.8,5.1,0.4,-4,-3.1,-0.1,3.2,7.6,11.1,13.9,13.2,8.7,3.4,0,-3.7,-1.9,0,4.5,9.2,14.2,17.7,21.3,20.6,15.2,8.1,2.5,-1.6,40,27,25,27,35,43,29,24,37,38,44,44,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"Vernon","grid",50.21875,-119.34375,739,-0.2,2.2,7.6,13.1,18.5,21.8,26.3,25.9,20,11.3,4.2,-0.3,-5.2,-4.3,-1.5,1.9,6.2,9.6,12.6,12.1,7.8,2.8,-1.3,-5,-2.7,-1.1,3.1,7.5,12.3,15.7,19.4,19,13.9,7.1,1.5,-2.7,41,30,26,28,41,52,31,25,36,39,44,48,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"PRT","grid",50.40625,-119.28125,548,-0.4,2.3,8.1,14.2,19.7,23,27.2,26.7,20.9,11.9,4.3,-0.3,-5.2,-4.4,-1.2,2.2,6.3,9.8,12.5,11.6,7.5,2.7,-1.1,-4.9,-2.8,-1,3.4,8.2,13,16.4,19.8,19.2,14.2,7.3,1.6,-2.6,49,32,31,31,40,47,33,26,41,45,54,53,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"PGTIS","grid",53.78125,-122.71875,597,-3.1,0.5,5.8,12.1,18.1,21,23.4,23,17.5,9.8,1.9,-2.4,-11.7,-9.9,-5.9,-1.1,3.3,7.1,9,7.9,4,0.1,-4.9,-10.1,-7.4,-4.7,0,5.5,10.7,14.1,16.2,15.4,10.8,5,-1.5,-6.2,56,38,33,35,43,65,61,47,55,64,56,47,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"Tolko","grid",50.40625,-119.21875,405,-0.2,2.5,8.6,14.9,20.2,23.5,28,27.6,21.4,12.2,4.8,-0.1,-4.9,-4.1,-0.9,2.3,6.5,10,12.6,11.7,7.5,2.6,-0.7,-4.5,-2.5,-0.8,3.8,8.6,13.3,16.8,20.3,19.7,14.4,7.4,2,-2.3,46,31,29,30,40,45,33,26,41,42,50,50,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"KettleRiver","grid",49.21875,-118.90625,836,-0.8,2.9,7.8,13.2,18.5,21.7,26.8,26.9,21.5,12.3,3.4,-1.6,-7.2,-6.5,-3.1,0,4.2,7.2,9.6,9.3,5.2,0.3,-3.5,-7.6,-4,-1.8,2.3,6.6,11.4,14.4,18.2,18.1,13.3,6.3,-0.1,-4.6,42,30,27,31,52,60,26,22,25,30,42,48,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"Border","grid",59.53125,-127.78125,678,-14,-8,-0.9,8,15,19.8,21.6,19.9,14,5.1,-6.7,-13.4,-22,-19.2,-15.1,-5.3,0.8,5.9,8.2,6.3,2,-3.1,-15.1,-20.2,-18,-13.6,-8,1.3,7.9,12.9,14.9,13.1,8,1,-10.9,-16.8,37,29,18,18,28,52,60,48,37,36,37,37,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"Trench","grid",56.15625,-124.09375,683,-6.5,-3.6,2.2,8.9,14.9,18.2,19.7,18.7,14.2,6.5,-1.2,-5.9,-12.8,-10.5,-5.7,-1.4,1.4,4.8,7,5.6,2.4,-0.5,-4.2,-10.6,-9.6,-7,-1.8,3.7,8.2,11.5,13.4,12.2,8.3,3,-2.7,-8.2,43,30,26,22,34,57,55,46,43,55,44,48,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
